id,name,nature,culture,entertainment,food,activity,tags,latitude,longitude,image_url,district
58,陳中和紀念館,0.3,0.9,0.2,0.1,0.2,"古蹟,藝文,室內",22.6134753,120.2955462,https://data.boch.gov.tw/upload/representImageFile/2020-11-27/4b9aaf16-ff92-4abe-a270-e83fb249c20a/DJI_0452-1.jpg,苓雅區
59,高雄清真寺,0.2,1,0.1,0.1,0.2,"廟宇,文化",22.62802259,120.3420062,https://khh.travel/Image/49661/?r=1704855207408,苓雅區
60,高雄關帝廟(武廟),0.2,1,0.2,0.3,0.2,"廟宇,文化",22.63066926,120.3316237,https://khh.travel/image/378/1024x768,苓雅區
61,多納高吊橋,0.9,0.3,0.3,0.1,0.6,"風景,戶外運動,打卡點",22.91408897,120.6891925,https://www.maolin-nsa.gov.tw/_api/content/images/attractions/34523/1024x768_attractions-image-5eeskm89nugqpndgds64qg.jpg,茂林區
62,得樂日嘎橋,0.8,0.2,0.2,0.1,0.4,"風景,打卡點",22.88339276,120.6542843,https://upload.wikimedia.org/wikipedia/commons/d/d5/DelerigaBridge.jpg,茂林區
63,多納部落,0.8,0.9,0.4,0.5,0.5,"文化,風景,原住民",22.91104,120.71591,https://www.maolin-nsa.gov.tw/_api/content/images/tours/56433/1024x768_tours-image-ixmia2c6kekgljcbgpkbza.jpg,茂林區
64,白雲寺,0.6,0.9,0.1,0.1,0.3,"廟宇,風景",22.90954215,120.1830188,https://crgis.rchss.sinica.edu.tw/temples/KaohsiungCity/chieding/121503-BYS/767d96f25bfa5edf8c8c.jpg/@@images/4ed48084-4486-4749-ab56-0f0989ac6b4e.jpeg,茄萣區
65,梅山遊客中心,0.7,0.5,0.4,0.3,0.3,"風景,旅遊服務",23.26335162,120.8259608,https://khh.travel/image/42832/1920x1080,桃源區
66,同安張家古厝,0.3,0.9,0.1,0.1,0.2,古蹟,22.75227879,120.26722,https://khh.travel/image/1052/1024x768,梓官區
67,紅樹林茄苳溪保護區,1,0.2,0.1,0.1,0.4,"風景,生態",22.73014484,120.2703939,https://khh.travel/image/1060/1024x768,梓官區
68,摩登高雄-R9中央公園站,0.5,0.6,0.6,0.4,0.3,"打卡點,購物,鐵道",22.62473209,120.299454,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a9/2e/11/caption.jpg?w=900&h=500&s=1,前金區
